testname,SGA,RGA,IGA
i080-311,2491.586000,4173.557000,5257.229000
i080-312,2160.209000,3828.120000,5094.206000
i080-313,2577.089000,3821.897000,5017.644000
i080-314,2582.731000,3920.713000,5230.836000
i080-315,2860.994000,3639.664000,5876.904000
i080-321,3090.273000,6720.072000,9412.572000
i080-322,2599.793000,6659.096000,9624.685000
i080-323,2545.604000,6564.703000,9572.541000
i080-324,2629.452000,6948.901000,9878.119000
i080-325,3042.889000,7412.212000,9892.444000
i080-331,2437.832000,4039.405000,5264.515000
i080-332,2613.199000,4186.753000,5673.218000
i080-333,2744.424000,5323.358000,5742.943000
i080-334,2237.821000,4248.306000,5382.972000
i080-335,2527.982000,3669.614000,5144.138000
i080-341,2987.638000,4268.229000,5995.214000
i080-342,2785.599000,4103.670000,6153.326000
i080-343,2462.747000,4067.670000,5938.111000
i080-344,2836.746000,4191.473000,5990.332000
i080-345,2516.154000,4125.022000,5875.369000
i160-001,2538.311000,3626.253000,5436.466000
i160-002,2438.258000,3343.259000,4514.050000
i160-003,2560.928000,3294.655000,5220.633000
i160-004,2671.028000,3379.601000,5158.814000
i160-005,2586.197000,4229.183000,5246.885000
i160-011,2387.832000,3921.006000,5717.740000
i160-012,2083.546000,3978.380000,5798.820000
i160-013,1843.510000,4119.987000,5537.204000
i160-014,2459.201000,4253.979000,5793.728000
i160-015,2457.864000,4108.232000,5877.885000
i160-021,4341.394000,14437.948000,25026.881000
i160-022,4327.699000,14362.220000,23698.855000
i160-023,4083.789000,14713.133000,24158.445000
i160-024,3774.246000,15101.081000,23718.317000
i160-025,3459.754000,14654.760000,24226.478000
i160-031,1461.941000,2863.151000,4139.713000
i160-032,1280.957000,3196.507000,4663.339000
i160-033,1443.900000,2785.798000,3990.741000
i160-034,1319.625000,4463.745000,4646.220000
i160-035,1523.231000,3276.030000,4350.537000
i160-041,1922.513000,6858.742000,9688.548000
i160-042,1814.688000,5743.597000,10202.299000
i160-043,1876.344000,6059.235000,9674.635000
i160-044,1938.725000,6437.067000,9732.096000
i160-045,1876.749000,6956.931000,9825.537000
i160-101,2072.488000,4140.358000,5509.447000
i160-102,2308.547000,4094.770000,5674.267000
i160-103,2001.445000,4196.067000,5795.303000
i160-104,2036.958000,4780.109000,5973.987000
i160-105,1639.973000,4025.958000,5340.411000
i160-111,1766.587000,4187.338000,6619.433000
i160-112,1781.550000,4139.033000,6801.064000
i160-113,1898.681000,4329.922000,6741.373000
i160-114,1893.268000,4387.249000,6716.206000
i160-115,1780.950000,4415.687000,6464.073000
i160-121,3055.227000,15977.168000,23820.301000
i160-122,3635.554000,15556.406000,24119.850000
i160-123,4133.273000,15843.441000,21453.938000
i160-124,3725.167000,17525.900000,21564.805000
i160-125,3341.756000,16444.955000,22284.881000
i160-131,1461.316000,3419.732000,3976.710000
i160-132,1593.718000,3584.999000,4352.736000
i160-133,1683.119000,3395.922000,4040.371000
i160-134,1699.322000,3691.646000,4408.039000
i160-135,1645.198000,3585.666000,4708.824000
i160-141,2084.492000,7251.184000,9072.204000
i160-142,2354.291000,6498.428000,8301.944000
i160-143,3375.484000,7327.787000,8925.892000
i160-144,2635.635000,7399.867000,8677.498000
i160-145,3082.115000,6535.410000,8792.925000
i160-201,2549.446000,5206.397000,6597.700000
i160-202,2946.130000,5320.449000,6528.214000
i160-203,2713.098000,5569.572000,6412.143000
i160-204,2893.232000,5150.390000,6597.105000
i160-205,2868.907000,4697.544000,6097.919000
i160-211,2598.006000,5050.137000,6802.494000
i160-212,2637.073000,4876.455000,6746.888000
i160-213,2413.000000,4899.218000,7959.025000
i160-214,2895.887000,5570.417000,7172.852000
i160-215,2819.275000,4931.443000,6645.269000
i160-221,4319.034000,15586.252000,21703.374000
i160-222,4858.986000,15158.330000,22216.588000
i160-223,4176.368000,14970.007000,22904.313000
i160-224,4305.356000,15261.931000,22368.708000
i160-225,4368.140000,14625.476000,22612.999000
i160-231,2125.772000,3980.848000,4923.980000
i160-232,2093.379000,3920.809000,5750.509000
i160-233,1905.489000,4011.867000,5906.767000
i160-234,1921.110000,3918.563000,5408.071000
i160-235,2096.227000,4029.218000,5386.744000
i160-241,2586.928000,7298.107000,9834.120000
i160-242,2537.774000,6712.469000,9765.593000
i160-243,2566.229000,6851.633000,9552.894000
i160-244,2898.545000,6626.161000,9239.411000
i160-245,3042.985000,6835.271000,9771.042000
i160-301,3264.430000,5660.992000,8617.416000
i160-302,3528.880000,5780.318000,7764.351000
i160-303,3337.923000,5719.747000,7746.726000
i160-304,3551.824000,6024.948000,7963.062000
i160-305,3662.276000,5526.058000,7804.092000
i160-311,3226.901000,6259.059000,8132.736000
i160-312,3207.978000,5598.834000,7896.615000
i160-313,3695.579000,5755.415000,7989.684000
i160-314,3498.912000,5667.835000,7986.169000
i160-315,3584.776000,5639.803000,7833.542000
i160-321,4647.275000,15975.684000,23801.249000
i160-322,3910.355000,15289.293000,23529.463000
i160-323,4459.944000,15545.530000,23345.324000
i160-324,4178.479000,14865.131000,23659.480000
i160-325,4313.236000,15248.822000,31528.113000
i160-331,2703.361000,4969.616000,7473.871000
i160-332,2878.824000,5482.773000,7746.141000
i160-333,2538.644000,5384.309000,7525.213000
i160-334,2412.955000,5463.850000,7170.816000
i160-335,2580.669000,5647.081000,7687.934000
i160-341,3400.804000,7943.046000,12581.012000
i160-342,3152.101000,7870.606000,11581.004000
i160-343,3299.372000,7495.422000,11265.553000
i160-344,3136.088000,7491.527000,11545.264000
i160-345,3123.922000,7458.036000,11187.189000
testname,SGA,RGA,IGA
c01,2231.706000,4319.925000,6784.786000
c02,3051.780000,5004.667000,7349.372000
